epoch,losses_from_train_v
1,0.13159063458442688
2,0.11952928453683853
3,0.11677704751491547
4,0.12195365875959396
5,0.11682045459747314
6,0.12221112847328186
7,0.11682458966970444
8,0.11789604276418686
9,0.12212838232517242
10,0.12387263774871826
11,0.10437089949846268
12,0.09686730057001114
13,0.08562175184488297
14,0.08698513358831406
15,0.08753998577594757
16,0.08174197375774384
17,0.07671287655830383
18,0.0761038288474083
19,0.08472620695829391
20,0.09351123124361038
21,0.13551998138427734
22,0.06921224296092987
23,0.0705137550830841
24,0.06873001903295517
25,0.07550621032714844
26,0.07383368909358978
27,0.07242089509963989
28,0.07052652537822723
29,0.07147189974784851
30,0.07294610142707825
31,0.06925837695598602
32,0.07184037566184998
33,0.0754077360033989
34,0.07214135676622391
35,0.07531815767288208
36,0.07368585467338562
37,0.07586374133825302
38,0.07782545685768127
39,0.07899990677833557
40,0.0833372101187706
41,0.07944647967815399
42,0.07724927365779877
43,0.07653702050447464
44,0.07929578423500061
45,0.07779758423566818
46,0.07551135122776031
47,0.07611188292503357
48,0.08175616711378098
49,0.08117803931236267
50,0.07962647080421448
51,0.07784751057624817
52,0.08107411116361618
53,0.07980646193027496
54,0.08028505742549896
55,0.08196184784173965
56,0.0842154398560524
57,0.08468722552061081
58,0.08559136092662811
59,0.08251054584980011
60,0.08564767986536026
61,0.08316057920455933
62,0.08821061253547668
63,0.08585485816001892
64,0.08888724446296692
65,0.08951278030872345
66,0.08677897602319717
67,0.08879353106021881
68,0.0879768654704094
69,0.08919546753168106
70,0.08940435200929642
71,0.09151240438222885
72,0.09119010716676712
73,0.09330873191356659
74,0.09239806979894638
75,0.0916377604007721
76,0.09518174827098846
77,0.09425424784421921
78,0.09499875456094742
79,0.09782019257545471
80,0.09662661701440811
81,0.09583460539579391
82,0.09477218985557556
83,0.09675779193639755
84,0.09348984062671661
85,0.09642602503299713
86,0.09551309049129486
87,0.09421557933092117
88,0.09532500058412552
89,0.09382054209709167
90,0.09516414999961853
91,0.09547306597232819
92,0.09454809874296188
93,0.09474354982376099
94,0.09529814124107361
95,0.09610208123922348
96,0.09530061483383179
97,0.09618303179740906
98,0.09577925503253937
99,0.09728719294071198
100,0.09532484412193298
