epoch,nmse
10,3.8359819566928497
20,3.866532802384013
30,3.9139512854636402
40,3.8041288591802043
50,3.8911935734907797
60,3.856058984252316
70,3.795283590353561
80,3.8065667866862345
90,3.832661009166046
100,3.8566821830746343
