epoch,genotype_concordance
10,0.5887356400489807
20,0.6535632014274597
30,0.7624137997627258
40,0.6609195470809937
50,0.7356321811676025
60,0.7426436543464661
70,0.5906896591186523
80,0.6013793349266052
90,0.5718390941619873
100,0.6010344624519348
