score,value,epoch
f1_score_11,0.7402298850574712,10
f1_score_3,0.735632183908046,10
f1_score_5,0.735632183908046,10
f1_score_7,0.7321839080459769,10
f1_score_9,0.7321839080459769,10
f1_score_11,0.735632183908046,20
f1_score_3,0.7390804597701149,20
f1_score_5,0.7344827586206897,20
f1_score_7,0.735632183908046,20
f1_score_9,0.735632183908046,20
f1_score_11,0.735632183908046,30
f1_score_3,0.7413793103448276,30
f1_score_5,0.7367816091954023,30
f1_score_7,0.7390804597701149,30
f1_score_9,0.735632183908046,30
f1_score_11,0.735632183908046,40
f1_score_3,0.735632183908046,40
f1_score_5,0.7321839080459769,40
f1_score_7,0.7321839080459769,40
f1_score_9,0.7321839080459769,40
f1_score_11,0.7379310344827587,50
f1_score_3,0.7390804597701149,50
f1_score_5,0.7379310344827587,50
f1_score_7,0.7321839080459769,50
f1_score_9,0.7367816091954023,50
f1_score_11,0.7367816091954023,60
f1_score_3,0.7344827586206897,60
f1_score_5,0.7310344827586208,60
f1_score_7,0.7310344827586208,60
f1_score_9,0.7310344827586208,60
f1_score_11,0.7379310344827587,70
f1_score_3,0.7367816091954023,70
f1_score_5,0.735632183908046,70
f1_score_7,0.735632183908046,70
f1_score_9,0.7379310344827587,70
f1_score_11,0.7367816091954023,80
f1_score_3,0.7367816091954023,80
f1_score_5,0.7402298850574712,80
f1_score_7,0.7333333333333333,80
f1_score_9,0.7367816091954023,80
f1_score_11,0.7413793103448276,90
f1_score_3,0.7390804597701149,90
f1_score_5,0.7390804597701149,90
f1_score_7,0.7379310344827587,90
f1_score_9,0.735632183908046,90
f1_score_11,0.735632183908046,100
f1_score_3,0.7333333333333333,100
f1_score_5,0.735632183908046,100
f1_score_7,0.7344827586206897,100
f1_score_9,0.735632183908046,100
